DATE,YEAR,DAY,MONTH,CODE,RAW DATE,VALUE (Pessoa)
2013-12-01,2013,1,12,PNADC12_TFA12,2013-12-01T00:00:00-02:00,2793.0
2014-01-01,2014,1,1,PNADC12_TFA12,2014-01-01T00:00:00-02:00,2789.0
2014-02-01,2014,1,2,PNADC12_TFA12,2014-02-01T00:00:00-02:00,2762.0
2014-03-01,2014,1,3,PNADC12_TFA12,2014-03-01T00:00:00-03:00,2633.0
2014-04-01,2014,1,4,PNADC12_TFA12,2014-04-01T00:00:00-03:00,2616.0
2014-05-01,2014,1,5,PNADC12_TFA12,2014-05-01T00:00:00-03:00,2582.0
2014-06-01,2014,1,6,PNADC12_TFA12,2014-06-01T00:00:00-03:00,2637.0
2014-07-01,2014,1,7,PNADC12_TFA12,2014-07-01T00:00:00-03:00,2614.0
2014-08-01,2014,1,8,PNADC12_TFA12,2014-08-01T00:00:00-03:00,2619.0
2014-09-01,2014,1,9,PNADC12_TFA12,2014-09-01T00:00:00-03:00,2574.0
2014-10-01,2014,1,10,PNADC12_TFA12,2014-10-01T00:00:00-03:00,2544.0
2014-11-01,2014,1,11,PNADC12_TFA12,2014-11-01T00:00:00-02:00,2519.0
2014-12-01,2014,1,12,PNADC12_TFA12,2014-12-01T00:00:00-02:00,2571.0
2015-01-01,2015,1,1,PNADC12_TFA12,2015-01-01T00:00:00-02:00,2631.0
2015-02-01,2015,1,2,PNADC12_TFA12,2015-02-01T00:00:00-02:00,2678.0
2015-03-01,2015,1,3,PNADC12_TFA12,2015-03-01T00:00:00-03:00,2674.0
2015-04-01,2015,1,4,PNADC12_TFA12,2015-04-01T00:00:00-03:00,2666.0
2015-05-01,2015,1,5,PNADC12_TFA12,2015-05-01T00:00:00-03:00,2646.0
2015-06-01,2015,1,6,PNADC12_TFA12,2015-06-01T00:00:00-03:00,2695.0
2015-07-01,2015,1,7,PNADC12_TFA12,2015-07-01T00:00:00-03:00,2712.0
2015-08-01,2015,1,8,PNADC12_TFA12,2015-08-01T00:00:00-03:00,2686.0
2015-09-01,2015,1,9,PNADC12_TFA12,2015-09-01T00:00:00-03:00,2631.0
2015-10-01,2015,1,10,PNADC12_TFA12,2015-10-01T00:00:00-03:00,2531.0
2015-11-01,2015,1,11,PNADC12_TFA12,2015-11-01T00:00:00-02:00,2409.0
2015-12-01,2015,1,12,PNADC12_TFA12,2015-12-01T00:00:00-02:00,2317.0
2016-01-01,2016,1,1,PNADC12_TFA12,2016-01-01T00:00:00-02:00,2273.0
2016-02-01,2016,1,2,PNADC12_TFA12,2016-02-01T00:00:00-02:00,2244.0
2016-03-01,2016,1,3,PNADC12_TFA12,2016-03-01T00:00:00-03:00,2163.0
2016-04-01,2016,1,4,PNADC12_TFA12,2016-04-01T00:00:00-03:00,2124.0
2016-05-01,2016,1,5,PNADC12_TFA12,2016-05-01T00:00:00-03:00,2122.0
2016-06-01,2016,1,6,PNADC12_TFA12,2016-06-01T00:00:00-03:00,2117.0
2016-07-01,2016,1,7,PNADC12_TFA12,2016-07-01T00:00:00-03:00,2091.0
2016-08-01,2016,1,8,PNADC12_TFA12,2016-08-01T00:00:00-03:00,2075.0
2016-09-01,2016,1,9,PNADC12_TFA12,2016-09-01T00:00:00-03:00,2049.0
2016-10-01,2016,1,10,PNADC12_TFA12,2016-10-01T00:00:00-03:00,2055.0
2016-11-01,2016,1,11,PNADC12_TFA12,2016-11-01T00:00:00-02:00,2080.0
2016-12-01,2016,1,12,PNADC12_TFA12,2016-12-01T00:00:00-02:00,2089.0
2017-01-01,2017,1,1,PNADC12_TFA12,2017-01-01T00:00:00-02:00,2146.0
2017-02-01,2017,1,2,PNADC12_TFA12,2017-02-01T00:00:00-02:00,2178.0
2017-03-01,2017,1,3,PNADC12_TFA12,2017-03-01T00:00:00-03:00,2172.0
2017-04-01,2017,1,4,PNADC12_TFA12,2017-04-01T00:00:00-03:00,2160.0
2017-05-01,2017,1,5,PNADC12_TFA12,2017-05-01T00:00:00-03:00,2150.0
2017-06-01,2017,1,6,PNADC12_TFA12,2017-06-01T00:00:00-03:00,2161.0
2017-07-01,2017,1,7,PNADC12_TFA12,2017-07-01T00:00:00-03:00,2211.0
2017-08-01,2017,1,8,PNADC12_TFA12,2017-08-01T00:00:00-03:00,2245.0
2017-09-01,2017,1,9,PNADC12_TFA12,2017-09-01T00:00:00-03:00,2247.0
2017-10-01,2017,1,10,PNADC12_TFA12,2017-10-01T00:00:00-03:00,2197.0
2017-11-01,2017,1,11,PNADC12_TFA12,2017-11-01T00:00:00-02:00,2221.0
2017-12-01,2017,1,12,PNADC12_TFA12,2017-12-01T00:00:00-02:00,2206.0
2018-01-01,2018,1,1,PNADC12_TFA12,2018-01-01T00:00:00-02:00,2226.0
2018-02-01,2018,1,2,PNADC12_TFA12,2018-02-01T00:00:00-02:00,2213.0
2018-03-01,2018,1,3,PNADC12_TFA12,2018-03-01T00:00:00-03:00,2204.0
2018-04-01,2018,1,4,PNADC12_TFA12,2018-04-01T00:00:00-03:00,2162.0
2018-05-01,2018,1,5,PNADC12_TFA12,2018-05-01T00:00:00-03:00,2118.0
2018-06-01,2018,1,6,PNADC12_TFA12,2018-06-01T00:00:00-03:00,2127.0
2018-07-01,2018,1,7,PNADC12_TFA12,2018-07-01T00:00:00-03:00,2123.0
2018-08-01,2018,1,8,PNADC12_TFA12,2018-08-01T00:00:00-03:00,2170.0
2018-09-01,2018,1,9,PNADC12_TFA12,2018-09-01T00:00:00-03:00,2204.0
2018-10-01,2018,1,10,PNADC12_TFA12,2018-10-01T00:00:00-03:00,2232.0
2018-11-01,2018,1,11,PNADC12_TFA12,2018-11-01T00:00:00-03:00,2201.0
2018-12-01,2018,1,12,PNADC12_TFA12,2018-12-01T00:00:00-02:00,2158.0
2019-01-01,2019,1,1,PNADC12_TFA12,2019-01-01T00:00:00-02:00,2155.0
2019-02-01,2019,1,2,PNADC12_TFA12,2019-02-01T00:00:00-02:00,2145.0
2019-03-01,2019,1,3,PNADC12_TFA12,2019-03-01T00:00:00-03:00,2166.0
2019-04-01,2019,1,4,PNADC12_TFA12,2019-04-01T00:00:00-03:00,2139.0
2019-05-01,2019,1,5,PNADC12_TFA12,2019-05-01T00:00:00-03:00,2160.0
2019-06-01,2019,1,6,PNADC12_TFA12,2019-06-01T00:00:00-03:00,2203.0
2019-07-01,2019,1,7,PNADC12_TFA12,2019-07-01T00:00:00-03:00,2230.0
2019-08-01,2019,1,8,PNADC12_TFA12,2019-08-01T00:00:00-03:00,2193.0
2019-09-01,2019,1,9,PNADC12_TFA12,2019-09-01T00:00:00-03:00,2127.0
2019-10-01,2019,1,10,PNADC12_TFA12,2019-10-01T00:00:00-03:00,2110.0
2019-11-01,2019,1,11,PNADC12_TFA12,2019-11-01T00:00:00-03:00,2062.0
2019-12-01,2019,1,12,PNADC12_TFA12,2019-12-01T00:00:00-03:00,2033.0
2020-01-01,2020,1,1,PNADC12_TFA12,2020-01-01T00:00:00-03:00,1980.0
2020-02-01,2020,1,2,PNADC12_TFA12,2020-02-01T00:00:00-03:00,1974.0
2020-03-01,2020,1,3,PNADC12_TFA12,2020-03-01T00:00:00-03:00,1938.0
2020-04-01,2020,1,4,PNADC12_TFA12,2020-04-01T00:00:00-03:00,1900.0
2020-05-01,2020,1,5,PNADC12_TFA12,2020-05-01T00:00:00-03:00,1879.0
2020-06-01,2020,1,6,PNADC12_TFA12,2020-06-01T00:00:00-03:00,1861.0
2020-07-01,2020,1,7,PNADC12_TFA12,2020-07-01T00:00:00-03:00,1895.0
2020-08-01,2020,1,8,PNADC12_TFA12,2020-08-01T00:00:00-03:00,1947.0
2020-09-01,2020,1,9,PNADC12_TFA12,2020-09-01T00:00:00-03:00,2002.0
2020-10-01,2020,1,10,PNADC12_TFA12,2020-10-01T00:00:00-03:00,2022.0
2020-11-01,2020,1,11,PNADC12_TFA12,2020-11-01T00:00:00-03:00,2047.0
2020-12-01,2020,1,12,PNADC12_TFA12,2020-12-01T00:00:00-03:00,2051.0
