DATE,YEAR,DAY,MONTH,CODE,RAW DATE,VALUE ((% a.a.))
2014-07-01,2014,1,7,BM12_CTJPJ12,2014-07-01T00:00:00-03:00,16.66
2014-08-01,2014,1,8,BM12_CTJPJ12,2014-08-01T00:00:00-03:00,16.43
2014-09-01,2014,1,9,BM12_CTJPJ12,2014-09-01T00:00:00-03:00,16.46
2014-10-01,2014,1,10,BM12_CTJPJ12,2014-10-01T00:00:00-03:00,16.67
2014-11-01,2014,1,11,BM12_CTJPJ12,2014-11-01T00:00:00-02:00,16.66
2014-12-01,2014,1,12,BM12_CTJPJ12,2014-12-01T00:00:00-02:00,16.6
2015-01-01,2015,1,1,BM12_CTJPJ12,2015-01-01T00:00:00-02:00,17.54
2015-02-01,2015,1,2,BM12_CTJPJ12,2015-02-01T00:00:00-02:00,18.13
2015-03-01,2015,1,3,BM12_CTJPJ12,2015-03-01T00:00:00-03:00,18.2
2015-04-01,2015,1,4,BM12_CTJPJ12,2015-04-01T00:00:00-03:00,18.64
2015-05-01,2015,1,5,BM12_CTJPJ12,2015-05-01T00:00:00-03:00,18.85
2015-06-01,2015,1,6,BM12_CTJPJ12,2015-06-01T00:00:00-03:00,19.19
2015-07-01,2015,1,7,BM12_CTJPJ12,2015-07-01T00:00:00-03:00,19.74
2015-08-01,2015,1,8,BM12_CTJPJ12,2015-08-01T00:00:00-03:00,20.17
2015-09-01,2015,1,9,BM12_CTJPJ12,2015-09-01T00:00:00-03:00,20.73
2015-10-01,2015,1,10,BM12_CTJPJ12,2015-10-01T00:00:00-03:00,21.17
2015-11-01,2015,1,11,BM12_CTJPJ12,2015-11-01T00:00:00-02:00,21.29
2015-12-01,2015,1,12,BM12_CTJPJ12,2015-12-01T00:00:00-02:00,20.77
2016-01-01,2016,1,1,BM12_CTJPJ12,2016-01-01T00:00:00-02:00,22.49
2016-02-01,2016,1,2,BM12_CTJPJ12,2016-02-01T00:00:00-02:00,22.74
2016-03-01,2016,1,3,BM12_CTJPJ12,2016-03-01T00:00:00-03:00,22.21
2016-04-01,2016,1,4,BM12_CTJPJ12,2016-04-01T00:00:00-03:00,22.0
2016-05-01,2016,1,5,BM12_CTJPJ12,2016-05-01T00:00:00-03:00,21.68
2016-06-01,2016,1,6,BM12_CTJPJ12,2016-06-01T00:00:00-03:00,21.68
2016-07-01,2016,1,7,BM12_CTJPJ12,2016-07-01T00:00:00-03:00,22.18
2016-08-01,2016,1,8,BM12_CTJPJ12,2016-08-01T00:00:00-03:00,22.25
2016-09-01,2016,1,9,BM12_CTJPJ12,2016-09-01T00:00:00-03:00,21.48
