DATE,YEAR,DAY,MONTH,CODE,RAW DATE,VALUE ((%))
2014-10-01,2014,1,10,BM12_CRLIN12,2014-10-01T00:00:00-03:00,4.61
2014-11-01,2014,1,11,BM12_CRLIN12,2014-11-01T00:00:00-02:00,4.45
2014-12-01,2014,1,12,BM12_CRLIN12,2014-12-01T00:00:00-02:00,4.31
2015-01-01,2015,1,1,BM12_CRLIN12,2015-01-01T00:00:00-02:00,4.41
2015-02-01,2015,1,2,BM12_CRLIN12,2015-02-01T00:00:00-02:00,4.42
2015-03-01,2015,1,3,BM12_CRLIN12,2015-03-01T00:00:00-03:00,4.38
2015-04-01,2015,1,4,BM12_CRLIN12,2015-04-01T00:00:00-03:00,4.57
2015-05-01,2015,1,5,BM12_CRLIN12,2015-05-01T00:00:00-03:00,4.68
2015-06-01,2015,1,6,BM12_CRLIN12,2015-06-01T00:00:00-03:00,4.59
2015-07-01,2015,1,7,BM12_CRLIN12,2015-07-01T00:00:00-03:00,4.77
2015-08-01,2015,1,8,BM12_CRLIN12,2015-08-01T00:00:00-03:00,4.91
2015-09-01,2015,1,9,BM12_CRLIN12,2015-09-01T00:00:00-03:00,4.92
2015-10-01,2015,1,10,BM12_CRLIN12,2015-10-01T00:00:00-03:00,5.02
2015-11-01,2015,1,11,BM12_CRLIN12,2015-11-01T00:00:00-02:00,5.22
2015-12-01,2015,1,12,BM12_CRLIN12,2015-12-01T00:00:00-02:00,5.28
2016-01-01,2016,1,1,BM12_CRLIN12,2016-01-01T00:00:00-02:00,5.44
2016-02-01,2016,1,2,BM12_CRLIN12,2016-02-01T00:00:00-02:00,5.47
2016-03-01,2016,1,3,BM12_CRLIN12,2016-03-01T00:00:00-03:00,5.51
2016-04-01,2016,1,4,BM12_CRLIN12,2016-04-01T00:00:00-03:00,5.65
2016-05-01,2016,1,5,BM12_CRLIN12,2016-05-01T00:00:00-03:00,5.79
2016-06-01,2016,1,6,BM12_CRLIN12,2016-06-01T00:00:00-03:00,5.62
2016-07-01,2016,1,7,BM12_CRLIN12,2016-07-01T00:00:00-03:00,5.7
2016-08-01,2016,1,8,BM12_CRLIN12,2016-08-01T00:00:00-03:00,5.76
2016-09-01,2016,1,9,BM12_CRLIN12,2016-09-01T00:00:00-03:00,5.77
2016-10-01,2016,1,10,BM12_CRLIN12,2016-10-01T00:00:00-03:00,5.79
2016-11-01,2016,1,11,BM12_CRLIN12,2016-11-01T00:00:00-02:00,5.74
2016-12-01,2016,1,12,BM12_CRLIN12,2016-12-01T00:00:00-02:00,5.62
2017-01-01,2017,1,1,BM12_CRLIN12,2017-01-01T00:00:00-02:00,5.67
2017-02-01,2017,1,2,BM12_CRLIN12,2017-02-01T00:00:00-02:00,5.57
2017-03-01,2017,1,3,BM12_CRLIN12,2017-03-01T00:00:00-03:00,5.71
2017-04-01,2017,1,4,BM12_CRLIN12,2017-04-01T00:00:00-03:00,5.73
2017-05-01,2017,1,5,BM12_CRLIN12,2017-05-01T00:00:00-03:00,5.93
2017-06-01,2017,1,6,BM12_CRLIN12,2017-06-01T00:00:00-03:00,5.54
2017-07-01,2017,1,7,BM12_CRLIN12,2017-07-01T00:00:00-03:00,5.61
2017-08-01,2017,1,8,BM12_CRLIN12,2017-08-01T00:00:00-03:00,5.6
2017-09-01,2017,1,9,BM12_CRLIN12,2017-09-01T00:00:00-03:00,5.41
2017-10-01,2017,1,10,BM12_CRLIN12,2017-10-01T00:00:00-03:00,5.38
2017-11-01,2017,1,11,BM12_CRLIN12,2017-11-01T00:00:00-02:00,5.25
2017-12-01,2017,1,12,BM12_CRLIN12,2017-12-01T00:00:00-02:00,4.9
2018-01-01,2018,1,1,BM12_CRLIN12,2018-01-01T00:00:00-02:00,5.05
2018-02-01,2018,1,2,BM12_CRLIN12,2018-02-01T00:00:00-02:00,4.97
2018-03-01,2018,1,3,BM12_CRLIN12,2018-03-01T00:00:00-03:00,4.77
2018-04-01,2018,1,4,BM12_CRLIN12,2018-04-01T00:00:00-03:00,4.64
2018-05-01,2018,1,5,BM12_CRLIN12,2018-05-01T00:00:00-03:00,4.59
2018-06-01,2018,1,6,BM12_CRLIN12,2018-06-01T00:00:00-03:00,4.4
2018-07-01,2018,1,7,BM12_CRLIN12,2018-07-01T00:00:00-03:00,4.28
2018-08-01,2018,1,8,BM12_CRLIN12,2018-08-01T00:00:00-03:00,4.22
2018-09-01,2018,1,9,BM12_CRLIN12,2018-09-01T00:00:00-03:00,4.1
2018-10-01,2018,1,10,BM12_CRLIN12,2018-10-01T00:00:00-03:00,4.08
2018-11-01,2018,1,11,BM12_CRLIN12,2018-11-01T00:00:00-03:00,3.96
2018-12-01,2018,1,12,BM12_CRLIN12,2018-12-01T00:00:00-02:00,3.85
2019-01-01,2019,1,1,BM12_CRLIN12,2019-01-01T00:00:00-02:00,3.97
2019-02-01,2019,1,2,BM12_CRLIN12,2019-02-01T00:00:00-02:00,3.87
2019-03-01,2019,1,3,BM12_CRLIN12,2019-03-01T00:00:00-03:00,3.88
2019-04-01,2019,1,4,BM12_CRLIN12,2019-04-01T00:00:00-03:00,3.86
2019-05-01,2019,1,5,BM12_CRLIN12,2019-05-01T00:00:00-03:00,3.88
2019-06-01,2019,1,6,BM12_CRLIN12,2019-06-01T00:00:00-03:00,3.87
2019-07-01,2019,1,7,BM12_CRLIN12,2019-07-01T00:00:00-03:00,4.0
2019-08-01,2019,1,8,BM12_CRLIN12,2019-08-01T00:00:00-03:00,3.89
2019-09-01,2019,1,9,BM12_CRLIN12,2019-09-01T00:00:00-03:00,3.9
2019-10-01,2019,1,10,BM12_CRLIN12,2019-10-01T00:00:00-03:00,3.89
2019-11-01,2019,1,11,BM12_CRLIN12,2019-11-01T00:00:00-03:00,3.85
2019-12-01,2019,1,12,BM12_CRLIN12,2019-12-01T00:00:00-03:00,3.72
2020-01-01,2020,1,1,BM12_CRLIN12,2020-01-01T00:00:00-03:00,3.79
2020-02-01,2020,1,2,BM12_CRLIN12,2020-02-01T00:00:00-03:00,3.83
2020-03-01,2020,1,3,BM12_CRLIN12,2020-03-01T00:00:00-03:00,3.87
2020-04-01,2020,1,4,BM12_CRLIN12,2020-04-01T00:00:00-03:00,4.03
2020-05-01,2020,1,5,BM12_CRLIN12,2020-05-01T00:00:00-03:00,4.06
2020-06-01,2020,1,6,BM12_CRLIN12,2020-06-01T00:00:00-03:00,3.7
2020-07-01,2020,1,7,BM12_CRLIN12,2020-07-01T00:00:00-03:00,3.56
2020-08-01,2020,1,8,BM12_CRLIN12,2020-08-01T00:00:00-03:00,3.35
2020-09-01,2020,1,9,BM12_CRLIN12,2020-09-01T00:00:00-03:00,3.2
2020-10-01,2020,1,10,BM12_CRLIN12,2020-10-01T00:00:00-03:00,3.11
2020-11-01,2020,1,11,BM12_CRLIN12,2020-11-01T00:00:00-03:00,3.0
2020-12-01,2020,1,12,BM12_CRLIN12,2020-12-01T00:00:00-03:00,2.89
2021-01-01,2021,1,1,BM12_CRLIN12,2021-01-01T00:00:00-03:00,2.95
