DATE,YEAR,DAY,MONTH,CODE,RAW DATE,VALUE ((%))
2018-06-01,2018,1,6,BM12_CINPJ12,2018-06-01T00:00:00-03:00,2.54
2018-07-01,2018,1,7,BM12_CINPJ12,2018-07-01T00:00:00-03:00,2.44
2018-08-01,2018,1,8,BM12_CINPJ12,2018-08-01T00:00:00-03:00,2.49
2018-09-01,2018,1,9,BM12_CINPJ12,2018-09-01T00:00:00-03:00,2.6
2018-10-01,2018,1,10,BM12_CINPJ12,2018-10-01T00:00:00-03:00,2.65
2018-11-01,2018,1,11,BM12_CINPJ12,2018-11-01T00:00:00-03:00,2.54
2018-12-01,2018,1,12,BM12_CINPJ12,2018-12-01T00:00:00-02:00,2.41
2019-01-01,2019,1,1,BM12_CINPJ12,2019-01-01T00:00:00-02:00,2.47
2019-02-01,2019,1,2,BM12_CINPJ12,2019-02-01T00:00:00-02:00,2.4
2019-03-01,2019,1,3,BM12_CINPJ12,2019-03-01T00:00:00-03:00,2.51
2019-04-01,2019,1,4,BM12_CINPJ12,2019-04-01T00:00:00-03:00,2.58
2019-05-01,2019,1,5,BM12_CINPJ12,2019-05-01T00:00:00-03:00,2.59
2019-06-01,2019,1,6,BM12_CINPJ12,2019-06-01T00:00:00-03:00,2.42
2019-07-01,2019,1,7,BM12_CINPJ12,2019-07-01T00:00:00-03:00,2.54
2019-08-01,2019,1,8,BM12_CINPJ12,2019-08-01T00:00:00-03:00,2.44
2019-09-01,2019,1,9,BM12_CINPJ12,2019-09-01T00:00:00-03:00,2.39
2019-10-01,2019,1,10,BM12_CINPJ12,2019-10-01T00:00:00-03:00,2.35
2019-11-01,2019,1,11,BM12_CINPJ12,2019-11-01T00:00:00-03:00,2.27
2019-12-01,2019,1,12,BM12_CINPJ12,2019-12-01T00:00:00-03:00,2.14
2020-01-01,2020,1,1,BM12_CINPJ12,2020-01-01T00:00:00-03:00,2.19
2020-02-01,2020,1,2,BM12_CINPJ12,2020-02-01T00:00:00-03:00,2.16
2020-03-01,2020,1,3,BM12_CINPJ12,2020-03-01T00:00:00-03:00,2.16
2020-04-01,2020,1,4,BM12_CINPJ12,2020-04-01T00:00:00-03:00,2.28
2020-05-01,2020,1,5,BM12_CINPJ12,2020-05-01T00:00:00-03:00,2.29
2020-06-01,2020,1,6,BM12_CINPJ12,2020-06-01T00:00:00-03:00,1.96
2020-07-01,2020,1,7,BM12_CINPJ12,2020-07-01T00:00:00-03:00,1.86
2020-08-01,2020,1,8,BM12_CINPJ12,2020-08-01T00:00:00-03:00,1.83
2020-09-01,2020,1,9,BM12_CINPJ12,2020-09-01T00:00:00-03:00,1.54
2020-10-01,2020,1,10,BM12_CINPJ12,2020-10-01T00:00:00-03:00,1.47
2020-11-01,2020,1,11,BM12_CINPJ12,2020-11-01T00:00:00-03:00,1.29
2020-12-01,2020,1,12,BM12_CINPJ12,2020-12-01T00:00:00-03:00,1.2
2021-01-01,2021,1,1,BM12_CINPJ12,2021-01-01T00:00:00-03:00,1.2
