DATE,YEAR,DAY,MONTH,CODE,RAW DATE,VALUE ((p.p.))
2013-06-01,2013,1,6,BM12_CSDPJ12,2013-06-01T00:00:00-03:00,7.33
2013-07-01,2013,1,7,BM12_CSDPJ12,2013-07-01T00:00:00-03:00,7.57
2013-08-01,2013,1,8,BM12_CSDPJ12,2013-08-01T00:00:00-03:00,7.58
2013-09-01,2013,1,9,BM12_CSDPJ12,2013-09-01T00:00:00-03:00,7.5
2013-10-01,2013,1,10,BM12_CSDPJ12,2013-10-01T00:00:00-03:00,7.49
2013-11-01,2013,1,11,BM12_CSDPJ12,2013-11-01T00:00:00-02:00,7.55
2013-12-01,2013,1,12,BM12_CSDPJ12,2013-12-01T00:00:00-02:00,7.33
2014-01-01,2014,1,1,BM12_CSDPJ12,2014-01-01T00:00:00-02:00,8.05
2014-02-01,2014,1,2,BM12_CSDPJ12,2014-02-01T00:00:00-02:00,8.2
2014-03-01,2014,1,3,BM12_CSDPJ12,2014-03-01T00:00:00-03:00,8.07
2014-04-01,2014,1,4,BM12_CSDPJ12,2014-04-01T00:00:00-03:00,8.31
2014-05-01,2014,1,5,BM12_CSDPJ12,2014-05-01T00:00:00-03:00,8.43
2014-06-01,2014,1,6,BM12_CSDPJ12,2014-06-01T00:00:00-03:00,8.15
2014-07-01,2014,1,7,BM12_CSDPJ12,2014-07-01T00:00:00-03:00,8.56
2014-08-01,2014,1,8,BM12_CSDPJ12,2014-08-01T00:00:00-03:00,8.27
2014-09-01,2014,1,9,BM12_CSDPJ12,2014-09-01T00:00:00-03:00,8.26
2014-10-01,2014,1,10,BM12_CSDPJ12,2014-10-01T00:00:00-03:00,8.26
2014-11-01,2014,1,11,BM12_CSDPJ12,2014-11-01T00:00:00-02:00,8.1
2014-12-01,2014,1,12,BM12_CSDPJ12,2014-12-01T00:00:00-02:00,7.93
2015-01-01,2015,1,1,BM12_CSDPJ12,2015-01-01T00:00:00-02:00,8.7
2015-02-01,2015,1,2,BM12_CSDPJ12,2015-02-01T00:00:00-02:00,9.05
2015-03-01,2015,1,3,BM12_CSDPJ12,2015-03-01T00:00:00-03:00,8.85
2015-04-01,2015,1,4,BM12_CSDPJ12,2015-04-01T00:00:00-03:00,9.27
2015-05-01,2015,1,5,BM12_CSDPJ12,2015-05-01T00:00:00-03:00,9.26
