DATE,YEAR,DAY,MONTH,CODE,RAW DATE,VALUE (Meses)
2016-12-01,2016,1,12,BM12_CRLPCA12,2016-12-01T00:00:00-02:00,18.82
2017-01-01,2017,1,1,BM12_CRLPCA12,2017-01-01T00:00:00-02:00,18.95
2017-02-01,2017,1,2,BM12_CRLPCA12,2017-02-01T00:00:00-02:00,18.86
2017-03-01,2017,1,3,BM12_CRLPCA12,2017-03-01T00:00:00-03:00,18.93
2017-04-01,2017,1,4,BM12_CRLPCA12,2017-04-01T00:00:00-03:00,19.01
2017-05-01,2017,1,5,BM12_CRLPCA12,2017-05-01T00:00:00-03:00,19.19
2017-06-01,2017,1,6,BM12_CRLPCA12,2017-06-01T00:00:00-03:00,19.44
2017-07-01,2017,1,7,BM12_CRLPCA12,2017-07-01T00:00:00-03:00,19.44
2017-08-01,2017,1,8,BM12_CRLPCA12,2017-08-01T00:00:00-03:00,19.49
2017-09-01,2017,1,9,BM12_CRLPCA12,2017-09-01T00:00:00-03:00,19.35
2017-10-01,2017,1,10,BM12_CRLPCA12,2017-10-01T00:00:00-03:00,19.53
2017-11-01,2017,1,11,BM12_CRLPCA12,2017-11-01T00:00:00-02:00,19.33
2017-12-01,2017,1,12,BM12_CRLPCA12,2017-12-01T00:00:00-02:00,19.45
2018-01-01,2018,1,1,BM12_CRLPCA12,2018-01-01T00:00:00-02:00,19.59
2018-02-01,2018,1,2,BM12_CRLPCA12,2018-02-01T00:00:00-02:00,19.78
2018-03-01,2018,1,3,BM12_CRLPCA12,2018-03-01T00:00:00-03:00,19.69
2018-04-01,2018,1,4,BM12_CRLPCA12,2018-04-01T00:00:00-03:00,19.82
2018-05-01,2018,1,5,BM12_CRLPCA12,2018-05-01T00:00:00-03:00,20.1
2018-06-01,2018,1,6,BM12_CRLPCA12,2018-06-01T00:00:00-03:00,19.91
2018-07-01,2018,1,7,BM12_CRLPCA12,2018-07-01T00:00:00-03:00,20.05
2018-08-01,2018,1,8,BM12_CRLPCA12,2018-08-01T00:00:00-03:00,20.25
2018-09-01,2018,1,9,BM12_CRLPCA12,2018-09-01T00:00:00-03:00,20.32
2018-10-01,2018,1,10,BM12_CRLPCA12,2018-10-01T00:00:00-03:00,20.46
2018-11-01,2018,1,11,BM12_CRLPCA12,2018-11-01T00:00:00-03:00,20.31
2018-12-01,2018,1,12,BM12_CRLPCA12,2018-12-01T00:00:00-02:00,20.08
2019-01-01,2019,1,1,BM12_CRLPCA12,2019-01-01T00:00:00-02:00,20.25
2019-02-01,2019,1,2,BM12_CRLPCA12,2019-02-01T00:00:00-02:00,20.23
2019-03-01,2019,1,3,BM12_CRLPCA12,2019-03-01T00:00:00-03:00,19.86
2019-04-01,2019,1,4,BM12_CRLPCA12,2019-04-01T00:00:00-03:00,20.05
2019-05-01,2019,1,5,BM12_CRLPCA12,2019-05-01T00:00:00-03:00,20.12
2019-06-01,2019,1,6,BM12_CRLPCA12,2019-06-01T00:00:00-03:00,19.78
2019-07-01,2019,1,7,BM12_CRLPCA12,2019-07-01T00:00:00-03:00,20.08
2019-08-01,2019,1,8,BM12_CRLPCA12,2019-08-01T00:00:00-03:00,20.14
2019-09-01,2019,1,9,BM12_CRLPCA12,2019-09-01T00:00:00-03:00,20.07
2019-10-01,2019,1,10,BM12_CRLPCA12,2019-10-01T00:00:00-03:00,20.31
2019-11-01,2019,1,11,BM12_CRLPCA12,2019-11-01T00:00:00-03:00,20.28
2019-12-01,2019,1,12,BM12_CRLPCA12,2019-12-01T00:00:00-03:00,20.15
2020-01-01,2020,1,1,BM12_CRLPCA12,2020-01-01T00:00:00-03:00,20.55
2020-02-01,2020,1,2,BM12_CRLPCA12,2020-02-01T00:00:00-03:00,20.47
2020-03-01,2020,1,3,BM12_CRLPCA12,2020-03-01T00:00:00-03:00,20.2
2020-04-01,2020,1,4,BM12_CRLPCA12,2020-04-01T00:00:00-03:00,20.56
2020-05-01,2020,1,5,BM12_CRLPCA12,2020-05-01T00:00:00-03:00,20.83
2020-06-01,2020,1,6,BM12_CRLPCA12,2020-06-01T00:00:00-03:00,21.11
2020-07-01,2020,1,7,BM12_CRLPCA12,2020-07-01T00:00:00-03:00,21.42
2020-08-01,2020,1,8,BM12_CRLPCA12,2020-08-01T00:00:00-03:00,21.53
2020-09-01,2020,1,9,BM12_CRLPCA12,2020-09-01T00:00:00-03:00,23.05
2020-10-01,2020,1,10,BM12_CRLPCA12,2020-10-01T00:00:00-03:00,21.47
2020-11-01,2020,1,11,BM12_CRLPCA12,2020-11-01T00:00:00-03:00,21.73
2020-12-01,2020,1,12,BM12_CRLPCA12,2020-12-01T00:00:00-03:00,21.42
2021-01-01,2021,1,1,BM12_CRLPCA12,2021-01-01T00:00:00-03:00,21.12
