DATE,YEAR,DAY,MONTH,CODE,RAW DATE,VALUE ((%))
2006-04-01,2006,1,4,BM12_TPFTRMA12,2006-04-01T00:00:00-03:00,1.96
2006-05-01,2006,1,5,BM12_TPFTRMA12,2006-05-01T00:00:00-03:00,1.86
2006-06-01,2006,1,6,BM12_TPFTRMA12,2006-06-01T00:00:00-03:00,1.87
2006-07-01,2006,1,7,BM12_TPFTRMA12,2006-07-01T00:00:00-03:00,2.03
2006-08-01,2006,1,8,BM12_TPFTRMA12,2006-08-01T00:00:00-03:00,2.05
2006-09-01,2006,1,9,BM12_TPFTRMA12,2006-09-01T00:00:00-03:00,2.07
2006-10-01,2006,1,10,BM12_TPFTRMA12,2006-10-01T00:00:00-03:00,2.07
2006-11-01,2006,1,11,BM12_TPFTRMA12,2006-11-01T00:00:00-03:00,2.06
2006-12-01,2006,1,12,BM12_TPFTRMA12,2006-12-01T00:00:00-02:00,2.1
2007-01-01,2007,1,1,BM12_TPFTRMA12,2007-01-01T00:00:00-02:00,2.04
2007-02-01,2007,1,2,BM12_TPFTRMA12,2007-02-01T00:00:00-02:00,2.15
2007-03-01,2007,1,3,BM12_TPFTRMA12,2007-03-01T00:00:00-03:00,2.15
2007-04-01,2007,1,4,BM12_TPFTRMA12,2007-04-01T00:00:00-03:00,2.11
2007-05-01,2007,1,5,BM12_TPFTRMA12,2007-05-01T00:00:00-03:00,2.04
2007-06-01,2007,1,6,BM12_TPFTRMA12,2007-06-01T00:00:00-03:00,2.05
2007-07-01,2007,1,7,BM12_TPFTRMA12,2007-07-01T00:00:00-03:00,2.03
2007-08-01,2007,1,8,BM12_TPFTRMA12,2007-08-01T00:00:00-03:00,2.01
2007-09-01,2007,1,9,BM12_TPFTRMA12,2007-09-01T00:00:00-03:00,1.97
2007-10-01,2007,1,10,BM12_TPFTRMA12,2007-10-01T00:00:00-03:00,1.97
2007-11-01,2007,1,11,BM12_TPFTRMA12,2007-11-01T00:00:00-02:00,1.97
2007-12-01,2007,1,12,BM12_TPFTRMA12,2007-12-01T00:00:00-02:00,1.84
2008-01-01,2008,1,1,BM12_TPFTRMA12,2008-01-01T00:00:00-02:00,1.79
2008-02-01,2008,1,2,BM12_TPFTRMA12,2008-02-01T00:00:00-02:00,1.79
2008-03-01,2008,1,3,BM12_TPFTRMA12,2008-03-01T00:00:00-03:00,1.78
2008-04-01,2008,1,4,BM12_TPFTRMA12,2008-04-01T00:00:00-03:00,1.78
2008-05-01,2008,1,5,BM12_TPFTRMA12,2008-05-01T00:00:00-03:00,1.73
2008-06-01,2008,1,6,BM12_TPFTRMA12,2008-06-01T00:00:00-03:00,1.72
2008-07-01,2008,1,7,BM12_TPFTRMA12,2008-07-01T00:00:00-03:00,1.64
2008-08-01,2008,1,8,BM12_TPFTRMA12,2008-08-01T00:00:00-03:00,1.42
2008-09-01,2008,1,9,BM12_TPFTRMA12,2008-09-01T00:00:00-03:00,1.21
2008-10-01,2008,1,10,BM12_TPFTRMA12,2008-10-01T00:00:00-03:00,1.2
2008-11-01,2008,1,11,BM12_TPFTRMA12,2008-11-01T00:00:00-02:00,1.24
2008-12-01,2008,1,12,BM12_TPFTRMA12,2008-12-01T00:00:00-02:00,1.27
