DATE,YEAR,DAY,MONTH,CODE,RAW DATE,VALUE (Meses)
2018-07-01,2018,1,7,BM12_CPCO12,2018-07-01T00:00:00-03:00,122.42
2018-08-01,2018,1,8,BM12_CPCO12,2018-08-01T00:00:00-03:00,121.61
2018-09-01,2018,1,9,BM12_CPCO12,2018-09-01T00:00:00-03:00,120.43
2018-10-01,2018,1,10,BM12_CPCO12,2018-10-01T00:00:00-03:00,119.58
2018-11-01,2018,1,11,BM12_CPCO12,2018-11-01T00:00:00-03:00,121.04
2018-12-01,2018,1,12,BM12_CPCO12,2018-12-01T00:00:00-02:00,123.53
2019-01-01,2019,1,1,BM12_CPCO12,2019-01-01T00:00:00-02:00,124.19
2019-02-01,2019,1,2,BM12_CPCO12,2019-02-01T00:00:00-02:00,124.08
2019-03-01,2019,1,3,BM12_CPCO12,2019-03-01T00:00:00-03:00,125.34
2019-04-01,2019,1,4,BM12_CPCO12,2019-04-01T00:00:00-03:00,120.95
2019-05-01,2019,1,5,BM12_CPCO12,2019-05-01T00:00:00-03:00,118.12
2019-06-01,2019,1,6,BM12_CPCO12,2019-06-01T00:00:00-03:00,122.42
2019-07-01,2019,1,7,BM12_CPCO12,2019-07-01T00:00:00-03:00,117.51
2019-08-01,2019,1,8,BM12_CPCO12,2019-08-01T00:00:00-03:00,119.1
2019-09-01,2019,1,9,BM12_CPCO12,2019-09-01T00:00:00-03:00,120.72
2019-10-01,2019,1,10,BM12_CPCO12,2019-10-01T00:00:00-03:00,122.05
2019-11-01,2019,1,11,BM12_CPCO12,2019-11-01T00:00:00-03:00,120.48
2019-12-01,2019,1,12,BM12_CPCO12,2019-12-01T00:00:00-03:00,119.11
2020-01-01,2020,1,1,BM12_CPCO12,2020-01-01T00:00:00-03:00,115.58
2020-02-01,2020,1,2,BM12_CPCO12,2020-02-01T00:00:00-03:00,116.97
2020-03-01,2020,1,3,BM12_CPCO12,2020-03-01T00:00:00-03:00,115.2
2020-04-01,2020,1,4,BM12_CPCO12,2020-04-01T00:00:00-03:00,116.15
2020-05-01,2020,1,5,BM12_CPCO12,2020-05-01T00:00:00-03:00,112.68
2020-06-01,2020,1,6,BM12_CPCO12,2020-06-01T00:00:00-03:00,116.16
2020-07-01,2020,1,7,BM12_CPCO12,2020-07-01T00:00:00-03:00,113.98
2020-08-01,2020,1,8,BM12_CPCO12,2020-08-01T00:00:00-03:00,115.14
2020-09-01,2020,1,9,BM12_CPCO12,2020-09-01T00:00:00-03:00,116.48
2020-10-01,2020,1,10,BM12_CPCO12,2020-10-01T00:00:00-03:00,114.81
2020-11-01,2020,1,11,BM12_CPCO12,2020-11-01T00:00:00-03:00,114.35
2020-12-01,2020,1,12,BM12_CPCO12,2020-12-01T00:00:00-03:00,115.43
2021-01-01,2021,1,1,BM12_CPCO12,2021-01-01T00:00:00-03:00,112.83
