DATE,YEAR,DAY,MONTH,CODE,RAW DATE,VALUE (GWh)
1984-06-01,1984,1,6,ELETRO12_CEEOUT12,1984-06-01T00:00:00-03:00,1607.0
1984-07-01,1984,1,7,ELETRO12_CEEOUT12,1984-07-01T00:00:00-03:00,1570.0
1984-08-01,1984,1,8,ELETRO12_CEEOUT12,1984-08-01T00:00:00-03:00,1643.0
1984-09-01,1984,1,9,ELETRO12_CEEOUT12,1984-09-01T00:00:00-03:00,1654.0
1984-10-01,1984,1,10,ELETRO12_CEEOUT12,1984-10-01T00:00:00-03:00,1558.0
1984-11-01,1984,1,11,ELETRO12_CEEOUT12,1984-11-01T00:00:00-03:00,1706.0
1984-12-01,1984,1,12,ELETRO12_CEEOUT12,1984-12-01T00:00:00-02:00,1655.0
1985-01-01,1985,1,1,ELETRO12_CEEOUT12,1985-01-01T00:00:00-02:00,1789.0
1985-02-01,1985,1,2,ELETRO12_CEEOUT12,1985-02-01T00:00:00-02:00,1692.0
1985-03-01,1985,1,3,ELETRO12_CEEOUT12,1985-03-01T00:00:00-03:00,1665.0
1985-04-01,1985,1,4,ELETRO12_CEEOUT12,1985-04-01T00:00:00-03:00,1702.0
1985-05-01,1985,1,5,ELETRO12_CEEOUT12,1985-05-01T00:00:00-03:00,1705.0
1985-06-01,1985,1,6,ELETRO12_CEEOUT12,1985-06-01T00:00:00-03:00,1727.0
1985-07-01,1985,1,7,ELETRO12_CEEOUT12,1985-07-01T00:00:00-03:00,1688.0
1985-08-01,1985,1,8,ELETRO12_CEEOUT12,1985-08-01T00:00:00-03:00,1789.0
1985-09-01,1985,1,9,ELETRO12_CEEOUT12,1985-09-01T00:00:00-03:00,1791.0
1985-10-01,1985,1,10,ELETRO12_CEEOUT12,1985-10-01T00:00:00-03:00,1874.0
1985-11-01,1985,1,11,ELETRO12_CEEOUT12,1985-11-01T00:00:00-03:00,1761.0
1985-12-01,1985,1,12,ELETRO12_CEEOUT12,1985-12-01T00:00:00-02:00,1829.0
1986-01-01,1986,1,1,ELETRO12_CEEOUT12,1986-01-01T00:00:00-02:00,1841.0
1986-02-01,1986,1,2,ELETRO12_CEEOUT12,1986-02-01T00:00:00-02:00,1714.0
1986-03-01,1986,1,3,ELETRO12_CEEOUT12,1986-03-01T00:00:00-03:00,1695.0
1986-04-01,1986,1,4,ELETRO12_CEEOUT12,1986-04-01T00:00:00-03:00,1736.0
1986-05-01,1986,1,5,ELETRO12_CEEOUT12,1986-05-01T00:00:00-03:00,1818.0
1986-06-01,1986,1,6,ELETRO12_CEEOUT12,1986-06-01T00:00:00-03:00,1770.0
1986-07-01,1986,1,7,ELETRO12_CEEOUT12,1986-07-01T00:00:00-03:00,1816.0
1986-08-01,1986,1,8,ELETRO12_CEEOUT12,1986-08-01T00:00:00-03:00,1861.0
1986-09-01,1986,1,9,ELETRO12_CEEOUT12,1986-09-01T00:00:00-03:00,1873.0
1986-10-01,1986,1,10,ELETRO12_CEEOUT12,1986-10-01T00:00:00-03:00,1878.0
1986-11-01,1986,1,11,ELETRO12_CEEOUT12,1986-11-01T00:00:00-03:00,1905.0
1986-12-01,1986,1,12,ELETRO12_CEEOUT12,1986-12-01T00:00:00-02:00,1868.0
1987-01-01,1987,1,1,ELETRO12_CEEOUT12,1987-01-01T00:00:00-02:00,2007.0
1987-02-01,1987,1,2,ELETRO12_CEEOUT12,1987-02-01T00:00:00-02:00,1890.0
1987-03-01,1987,1,3,ELETRO12_CEEOUT12,1987-03-01T00:00:00-03:00,1944.0
1987-04-01,1987,1,4,ELETRO12_CEEOUT12,1987-04-01T00:00:00-03:00,1866.0
