DATE,YEAR,DAY,MONTH,CODE,RAW DATE,VALUE ((%))
2007-09-01,2007,1,9,BM12_TPFMA12,2007-09-01T00:00:00-03:00,12.79
2007-10-01,2007,1,10,BM12_TPFMA12,2007-10-01T00:00:00-03:00,13.73
2007-11-01,2007,1,11,BM12_TPFMA12,2007-11-01T00:00:00-02:00,12.42
2007-12-01,2007,1,12,BM12_TPFMA12,2007-12-01T00:00:00-02:00,11.92
2008-01-01,2008,1,1,BM12_TPFMA12,2008-01-01T00:00:00-02:00,15.94
2008-02-01,2008,1,2,BM12_TPFMA12,2008-02-01T00:00:00-02:00,13.84
2008-03-01,2008,1,3,BM12_TPFMA12,2008-03-01T00:00:00-03:00,14.09
2008-04-01,2008,1,4,BM12_TPFMA12,2008-04-01T00:00:00-03:00,16.8
2008-05-01,2008,1,5,BM12_TPFMA12,2008-05-01T00:00:00-03:00,15.31
2008-06-01,2008,1,6,BM12_TPFMA12,2008-06-01T00:00:00-03:00,15.75
2008-07-01,2008,1,7,BM12_TPFMA12,2008-07-01T00:00:00-03:00,19.93
2008-08-01,2008,1,8,BM12_TPFMA12,2008-08-01T00:00:00-03:00,18.55
2008-09-01,2008,1,9,BM12_TPFMA12,2008-09-01T00:00:00-03:00,18.74
2008-10-01,2008,1,10,BM12_TPFMA12,2008-10-01T00:00:00-03:00,19.54
2008-11-01,2008,1,11,BM12_TPFMA12,2008-11-01T00:00:00-02:00,17.85
2008-12-01,2008,1,12,BM12_TPFMA12,2008-12-01T00:00:00-02:00,19.2
2009-01-01,2009,1,1,BM12_TPFMA12,2009-01-01T00:00:00-02:00,23.79
2009-02-01,2009,1,2,BM12_TPFMA12,2009-02-01T00:00:00-02:00,22.7
2009-03-01,2009,1,3,BM12_TPFMA12,2009-03-01T00:00:00-03:00,22.64
2009-04-01,2009,1,4,BM12_TPFMA12,2009-04-01T00:00:00-03:00,22.72
2009-05-01,2009,1,5,BM12_TPFMA12,2009-05-01T00:00:00-03:00,23.19
2009-06-01,2009,1,6,BM12_TPFMA12,2009-06-01T00:00:00-03:00,22.58
2009-07-01,2009,1,7,BM12_TPFMA12,2009-07-01T00:00:00-03:00,23.28
2009-08-01,2009,1,8,BM12_TPFMA12,2009-08-01T00:00:00-03:00,22.1
2009-09-01,2009,1,9,BM12_TPFMA12,2009-09-01T00:00:00-03:00,23.67
2009-10-01,2009,1,10,BM12_TPFMA12,2009-10-01T00:00:00-03:00,25.38
2009-11-01,2009,1,11,BM12_TPFMA12,2009-11-01T00:00:00-02:00,24.11
2009-12-01,2009,1,12,BM12_TPFMA12,2009-12-01T00:00:00-02:00,23.43
