DATE,YEAR,DAY,MONTH,CODE,RAW DATE,VALUE (Meses)
2015-03-01,2015,1,3,BM12_CRLPCAPJ12,2015-03-01T00:00:00-03:00,17.23
2015-04-01,2015,1,4,BM12_CRLPCAPJ12,2015-04-01T00:00:00-03:00,16.93
2015-05-01,2015,1,5,BM12_CRLPCAPJ12,2015-05-01T00:00:00-03:00,17.28
2015-06-01,2015,1,6,BM12_CRLPCAPJ12,2015-06-01T00:00:00-03:00,17.24
2015-07-01,2015,1,7,BM12_CRLPCAPJ12,2015-07-01T00:00:00-03:00,17.6
2015-08-01,2015,1,8,BM12_CRLPCAPJ12,2015-08-01T00:00:00-03:00,17.75
2015-09-01,2015,1,9,BM12_CRLPCAPJ12,2015-09-01T00:00:00-03:00,18.04
2015-10-01,2015,1,10,BM12_CRLPCAPJ12,2015-10-01T00:00:00-03:00,18.18
2015-11-01,2015,1,11,BM12_CRLPCAPJ12,2015-11-01T00:00:00-02:00,18.21
2015-12-01,2015,1,12,BM12_CRLPCAPJ12,2015-12-01T00:00:00-02:00,18.74
2016-01-01,2016,1,1,BM12_CRLPCAPJ12,2016-01-01T00:00:00-02:00,18.97
2016-02-01,2016,1,2,BM12_CRLPCAPJ12,2016-02-01T00:00:00-02:00,18.7
2016-03-01,2016,1,3,BM12_CRLPCAPJ12,2016-03-01T00:00:00-03:00,18.22
2016-04-01,2016,1,4,BM12_CRLPCAPJ12,2016-04-01T00:00:00-03:00,18.15
2016-05-01,2016,1,5,BM12_CRLPCAPJ12,2016-05-01T00:00:00-03:00,18.32
2016-06-01,2016,1,6,BM12_CRLPCAPJ12,2016-06-01T00:00:00-03:00,17.99
2016-07-01,2016,1,7,BM12_CRLPCAPJ12,2016-07-01T00:00:00-03:00,18.22
2016-08-01,2016,1,8,BM12_CRLPCAPJ12,2016-08-01T00:00:00-03:00,18.12
2016-09-01,2016,1,9,BM12_CRLPCAPJ12,2016-09-01T00:00:00-03:00,18.39
2016-10-01,2016,1,10,BM12_CRLPCAPJ12,2016-10-01T00:00:00-03:00,17.97
2016-11-01,2016,1,11,BM12_CRLPCAPJ12,2016-11-01T00:00:00-02:00,18.18
2016-12-01,2016,1,12,BM12_CRLPCAPJ12,2016-12-01T00:00:00-02:00,17.74
2017-01-01,2017,1,1,BM12_CRLPCAPJ12,2017-01-01T00:00:00-02:00,17.85
2017-02-01,2017,1,2,BM12_CRLPCAPJ12,2017-02-01T00:00:00-02:00,17.71
2017-03-01,2017,1,3,BM12_CRLPCAPJ12,2017-03-01T00:00:00-03:00,17.69
2017-04-01,2017,1,4,BM12_CRLPCAPJ12,2017-04-01T00:00:00-03:00,17.79
2017-05-01,2017,1,5,BM12_CRLPCAPJ12,2017-05-01T00:00:00-03:00,17.97
2017-06-01,2017,1,6,BM12_CRLPCAPJ12,2017-06-01T00:00:00-03:00,18.37
2017-07-01,2017,1,7,BM12_CRLPCAPJ12,2017-07-01T00:00:00-03:00,18.28
2017-08-01,2017,1,8,BM12_CRLPCAPJ12,2017-08-01T00:00:00-03:00,18.28
2017-09-01,2017,1,9,BM12_CRLPCAPJ12,2017-09-01T00:00:00-03:00,18.14
2017-10-01,2017,1,10,BM12_CRLPCAPJ12,2017-10-01T00:00:00-03:00,18.22
2017-11-01,2017,1,11,BM12_CRLPCAPJ12,2017-11-01T00:00:00-02:00,17.8
2017-12-01,2017,1,12,BM12_CRLPCAPJ12,2017-12-01T00:00:00-02:00,17.91
2018-01-01,2018,1,1,BM12_CRLPCAPJ12,2018-01-01T00:00:00-02:00,18.17
2018-02-01,2018,1,2,BM12_CRLPCAPJ12,2018-02-01T00:00:00-02:00,18.65
2018-03-01,2018,1,3,BM12_CRLPCAPJ12,2018-03-01T00:00:00-03:00,18.38
2018-04-01,2018,1,4,BM12_CRLPCAPJ12,2018-04-01T00:00:00-03:00,18.65
2018-05-01,2018,1,5,BM12_CRLPCAPJ12,2018-05-01T00:00:00-03:00,19.24
2018-06-01,2018,1,6,BM12_CRLPCAPJ12,2018-06-01T00:00:00-03:00,18.71
2018-07-01,2018,1,7,BM12_CRLPCAPJ12,2018-07-01T00:00:00-03:00,18.82
2018-08-01,2018,1,8,BM12_CRLPCAPJ12,2018-08-01T00:00:00-03:00,19.09
2018-09-01,2018,1,9,BM12_CRLPCAPJ12,2018-09-01T00:00:00-03:00,19.17
2018-10-01,2018,1,10,BM12_CRLPCAPJ12,2018-10-01T00:00:00-03:00,19.32
2018-11-01,2018,1,11,BM12_CRLPCAPJ12,2018-11-01T00:00:00-03:00,19.04
2018-12-01,2018,1,12,BM12_CRLPCAPJ12,2018-12-01T00:00:00-02:00,18.57
2019-01-01,2019,1,1,BM12_CRLPCAPJ12,2019-01-01T00:00:00-02:00,18.9
2019-02-01,2019,1,2,BM12_CRLPCAPJ12,2019-02-01T00:00:00-02:00,18.84
2019-03-01,2019,1,3,BM12_CRLPCAPJ12,2019-03-01T00:00:00-03:00,18.17
2019-04-01,2019,1,4,BM12_CRLPCAPJ12,2019-04-01T00:00:00-03:00,18.36
2019-05-01,2019,1,5,BM12_CRLPCAPJ12,2019-05-01T00:00:00-03:00,18.4
2019-06-01,2019,1,6,BM12_CRLPCAPJ12,2019-06-01T00:00:00-03:00,17.71
2019-07-01,2019,1,7,BM12_CRLPCAPJ12,2019-07-01T00:00:00-03:00,18.07
2019-08-01,2019,1,8,BM12_CRLPCAPJ12,2019-08-01T00:00:00-03:00,18.21
2019-09-01,2019,1,9,BM12_CRLPCAPJ12,2019-09-01T00:00:00-03:00,17.97
2019-10-01,2019,1,10,BM12_CRLPCAPJ12,2019-10-01T00:00:00-03:00,18.22
2019-11-01,2019,1,11,BM12_CRLPCAPJ12,2019-11-01T00:00:00-03:00,18.11
2019-12-01,2019,1,12,BM12_CRLPCAPJ12,2019-12-01T00:00:00-03:00,17.71
2020-01-01,2020,1,1,BM12_CRLPCAPJ12,2020-01-01T00:00:00-03:00,18.3
2020-02-01,2020,1,2,BM12_CRLPCAPJ12,2020-02-01T00:00:00-03:00,18.41
2020-03-01,2020,1,3,BM12_CRLPCAPJ12,2020-03-01T00:00:00-03:00,17.93
2020-04-01,2020,1,4,BM12_CRLPCAPJ12,2020-04-01T00:00:00-03:00,18.28
2020-05-01,2020,1,5,BM12_CRLPCAPJ12,2020-05-01T00:00:00-03:00,18.64
2020-06-01,2020,1,6,BM12_CRLPCAPJ12,2020-06-01T00:00:00-03:00,18.79
2020-07-01,2020,1,7,BM12_CRLPCAPJ12,2020-07-01T00:00:00-03:00,18.99
2020-08-01,2020,1,8,BM12_CRLPCAPJ12,2020-08-01T00:00:00-03:00,19.07
2020-09-01,2020,1,9,BM12_CRLPCAPJ12,2020-09-01T00:00:00-03:00,19.1
2020-10-01,2020,1,10,BM12_CRLPCAPJ12,2020-10-01T00:00:00-03:00,19.14
2020-11-01,2020,1,11,BM12_CRLPCAPJ12,2020-11-01T00:00:00-03:00,18.74
2020-12-01,2020,1,12,BM12_CRLPCAPJ12,2020-12-01T00:00:00-03:00,18.24
2021-01-01,2021,1,1,BM12_CRLPCAPJ12,2021-01-01T00:00:00-03:00,18.36
