DATE,YEAR,DAY,MONTH,CODE,RAW DATE,VALUE (Barril)
1992-01-01,1992,1,1,ANP12_CDEPET12,1992-01-01T00:00:00-02:00,969.0
1992-02-01,1992,1,2,ANP12_CDEPET12,1992-02-01T00:00:00-02:00,962.0
1992-03-01,1992,1,3,ANP12_CDEPET12,1992-03-01T00:00:00-03:00,985.0
1992-04-01,1992,1,4,ANP12_CDEPET12,1992-04-01T00:00:00-03:00,1013.0
1992-05-01,1992,1,5,ANP12_CDEPET12,1992-05-01T00:00:00-03:00,1009.0
1992-06-01,1992,1,6,ANP12_CDEPET12,1992-06-01T00:00:00-03:00,1093.0
1992-07-01,1992,1,7,ANP12_CDEPET12,1992-07-01T00:00:00-03:00,1066.0
1992-08-01,1992,1,8,ANP12_CDEPET12,1992-08-01T00:00:00-03:00,1072.0
1992-09-01,1992,1,9,ANP12_CDEPET12,1992-09-01T00:00:00-03:00,1091.0
1992-10-01,1992,1,10,ANP12_CDEPET12,1992-10-01T00:00:00-03:00,1058.0
1992-11-01,1992,1,11,ANP12_CDEPET12,1992-11-01T00:00:00-03:00,1082.0
1992-12-01,1992,1,12,ANP12_CDEPET12,1992-12-01T00:00:00-02:00,999.0
1993-01-01,1993,1,1,ANP12_CDEPET12,1993-01-01T00:00:00-02:00,962.0
1993-02-01,1993,1,2,ANP12_CDEPET12,1993-02-01T00:00:00-02:00,984.0
1993-03-01,1993,1,3,ANP12_CDEPET12,1993-03-01T00:00:00-03:00,1048.0
1993-04-01,1993,1,4,ANP12_CDEPET12,1993-04-01T00:00:00-03:00,1041.0
1993-05-01,1993,1,5,ANP12_CDEPET12,1993-05-01T00:00:00-03:00,1051.0
1993-06-01,1993,1,6,ANP12_CDEPET12,1993-06-01T00:00:00-03:00,1138.0
1993-07-01,1993,1,7,ANP12_CDEPET12,1993-07-01T00:00:00-03:00,1058.0
1993-08-01,1993,1,8,ANP12_CDEPET12,1993-08-01T00:00:00-03:00,1166.0
1993-09-01,1993,1,9,ANP12_CDEPET12,1993-09-01T00:00:00-03:00,1156.0
1993-10-01,1993,1,10,ANP12_CDEPET12,1993-10-01T00:00:00-03:00,1108.0
1993-11-01,1993,1,11,ANP12_CDEPET12,1993-11-01T00:00:00-03:00,1093.0
1993-12-01,1993,1,12,ANP12_CDEPET12,1993-12-01T00:00:00-02:00,1072.0
1994-01-01,1994,1,1,ANP12_CDEPET12,1994-01-01T00:00:00-02:00,1012.0
1994-02-01,1994,1,2,ANP12_CDEPET12,1994-02-01T00:00:00-02:00,1041.0
1994-03-01,1994,1,3,ANP12_CDEPET12,1994-03-01T00:00:00-03:00,1075.0
1994-04-01,1994,1,4,ANP12_CDEPET12,1994-04-01T00:00:00-03:00,1059.0
1994-05-01,1994,1,5,ANP12_CDEPET12,1994-05-01T00:00:00-03:00,1090.0
1994-06-01,1994,1,6,ANP12_CDEPET12,1994-06-01T00:00:00-03:00,1067.0
1994-07-01,1994,1,7,ANP12_CDEPET12,1994-07-01T00:00:00-03:00,1081.0
1994-08-01,1994,1,8,ANP12_CDEPET12,1994-08-01T00:00:00-03:00,1125.0
1994-09-01,1994,1,9,ANP12_CDEPET12,1994-09-01T00:00:00-03:00,1163.0
1994-10-01,1994,1,10,ANP12_CDEPET12,1994-10-01T00:00:00-03:00,1180.0
1994-11-01,1994,1,11,ANP12_CDEPET12,1994-11-01T00:00:00-03:00,1209.0
1994-12-01,1994,1,12,ANP12_CDEPET12,1994-12-01T00:00:00-02:00,1179.0
1995-01-01,1995,1,1,ANP12_CDEPET12,1995-01-01T00:00:00-02:00,1095.0
1995-02-01,1995,1,2,ANP12_CDEPET12,1995-02-01T00:00:00-02:00,1213.0
1995-03-01,1995,1,3,ANP12_CDEPET12,1995-03-01T00:00:00-03:00,1185.0
1995-04-01,1995,1,4,ANP12_CDEPET12,1995-04-01T00:00:00-03:00,1182.0
1995-05-01,1995,1,5,ANP12_CDEPET12,1995-05-01T00:00:00-03:00,1060.0
1995-06-01,1995,1,6,ANP12_CDEPET12,1995-06-01T00:00:00-03:00,1239.0
1995-07-01,1995,1,7,ANP12_CDEPET12,1995-07-01T00:00:00-03:00,1234.0
1995-08-01,1995,1,8,ANP12_CDEPET12,1995-08-01T00:00:00-03:00,1296.0
1995-09-01,1995,1,9,ANP12_CDEPET12,1995-09-01T00:00:00-03:00,1232.0
1995-10-01,1995,1,10,ANP12_CDEPET12,1995-10-01T00:00:00-03:00,1281.0
1995-11-01,1995,1,11,ANP12_CDEPET12,1995-11-01T00:00:00-03:00,1290.0
1995-12-01,1995,1,12,ANP12_CDEPET12,1995-12-01T00:00:00-02:00,1166.0
1996-01-01,1996,1,1,ANP12_CDEPET12,1996-01-01T00:00:00-02:00,1173.0
1996-02-01,1996,1,2,ANP12_CDEPET12,1996-02-01T00:00:00-02:00,1191.0
1996-03-01,1996,1,3,ANP12_CDEPET12,1996-03-01T00:00:00-03:00,1230.0
1996-04-01,1996,1,4,ANP12_CDEPET12,1996-04-01T00:00:00-03:00,1242.0
1996-05-01,1996,1,5,ANP12_CDEPET12,1996-05-01T00:00:00-03:00,1293.0
1996-06-01,1996,1,6,ANP12_CDEPET12,1996-06-01T00:00:00-03:00,1277.0
1996-07-01,1996,1,7,ANP12_CDEPET12,1996-07-01T00:00:00-03:00,1330.0
1996-08-01,1996,1,8,ANP12_CDEPET12,1996-08-01T00:00:00-03:00,1317.0
1996-09-01,1996,1,9,ANP12_CDEPET12,1996-09-01T00:00:00-03:00,1368.0
1996-10-01,1996,1,10,ANP12_CDEPET12,1996-10-01T00:00:00-03:00,1337.0
1996-11-01,1996,1,11,ANP12_CDEPET12,1996-11-01T00:00:00-03:00,1328.0
1996-12-01,1996,1,12,ANP12_CDEPET12,1996-12-01T00:00:00-02:00,1341.0
1997-01-01,1997,1,1,ANP12_CDEPET12,1997-01-01T00:00:00-02:00,1275.0
1997-02-01,1997,1,2,ANP12_CDEPET12,1997-02-01T00:00:00-02:00,1277.0
1997-03-01,1997,1,3,ANP12_CDEPET12,1997-03-01T00:00:00-03:00,1319.0
1997-04-01,1997,1,4,ANP12_CDEPET12,1997-04-01T00:00:00-03:00,1382.0
1997-05-01,1997,1,5,ANP12_CDEPET12,1997-05-01T00:00:00-03:00,1376.0
1997-06-01,1997,1,6,ANP12_CDEPET12,1997-06-01T00:00:00-03:00,1404.0
1997-07-01,1997,1,7,ANP12_CDEPET12,1997-07-01T00:00:00-03:00,1443.0
1997-08-01,1997,1,8,ANP12_CDEPET12,1997-08-01T00:00:00-03:00,1423.0
1997-09-01,1997,1,9,ANP12_CDEPET12,1997-09-01T00:00:00-03:00,1462.0
1997-10-01,1997,1,10,ANP12_CDEPET12,1997-10-01T00:00:00-03:00,1506.0
1997-11-01,1997,1,11,ANP12_CDEPET12,1997-11-01T00:00:00-03:00,1459.0
1997-12-01,1997,1,12,ANP12_CDEPET12,1997-12-01T00:00:00-02:00,1401.0
1998-01-01,1998,1,1,ANP12_CDEPET12,1998-01-01T00:00:00-02:00,1267.0
1998-02-01,1998,1,2,ANP12_CDEPET12,1998-02-01T00:00:00-02:00,1253.0
1998-03-01,1998,1,3,ANP12_CDEPET12,1998-03-01T00:00:00-03:00,1343.0
1998-04-01,1998,1,4,ANP12_CDEPET12,1998-04-01T00:00:00-03:00,1403.0
1998-05-01,1998,1,5,ANP12_CDEPET12,1998-05-01T00:00:00-03:00,1338.0
1998-06-01,1998,1,6,ANP12_CDEPET12,1998-06-01T00:00:00-03:00,1421.0
1998-07-01,1998,1,7,ANP12_CDEPET12,1998-07-01T00:00:00-03:00,1451.0
1998-08-01,1998,1,8,ANP12_CDEPET12,1998-08-01T00:00:00-03:00,1393.0
1998-09-01,1998,1,9,ANP12_CDEPET12,1998-09-01T00:00:00-03:00,1461.0
1998-10-01,1998,1,10,ANP12_CDEPET12,1998-10-01T00:00:00-03:00,1481.0
1998-11-01,1998,1,11,ANP12_CDEPET12,1998-11-01T00:00:00-03:00,1365.0
1998-12-01,1998,1,12,ANP12_CDEPET12,1998-12-01T00:00:00-02:00,1408.0
1999-01-01,1999,1,1,ANP12_CDEPET12,1999-01-01T00:00:00-02:00,1285.0
1999-02-01,1999,1,2,ANP12_CDEPET12,1999-02-01T00:00:00-02:00,1285.0
1999-03-01,1999,1,3,ANP12_CDEPET12,1999-03-01T00:00:00-03:00,1433.0
1999-04-01,1999,1,4,ANP12_CDEPET12,1999-04-01T00:00:00-03:00,1364.0
1999-05-01,1999,1,5,ANP12_CDEPET12,1999-05-01T00:00:00-03:00,1354.0
1999-06-01,1999,1,6,ANP12_CDEPET12,1999-06-01T00:00:00-03:00,1408.0
1999-07-01,1999,1,7,ANP12_CDEPET12,1999-07-01T00:00:00-03:00,1408.0
1999-08-01,1999,1,8,ANP12_CDEPET12,1999-08-01T00:00:00-03:00,1423.0
1999-09-01,1999,1,9,ANP12_CDEPET12,1999-09-01T00:00:00-03:00,1411.0
1999-10-01,1999,1,10,ANP12_CDEPET12,1999-10-01T00:00:00-03:00,1396.0
1999-11-01,1999,1,11,ANP12_CDEPET12,1999-11-01T00:00:00-03:00,1450.0
1999-12-01,1999,1,12,ANP12_CDEPET12,1999-12-01T00:00:00-02:00,1441.0
2000-01-01,2000,1,1,ANP12_CDEPET12,2000-01-01T00:00:00-02:00,1245.0
2000-02-01,2000,1,2,ANP12_CDEPET12,2000-02-01T00:00:00-02:00,1415.0
2000-03-01,2000,1,3,ANP12_CDEPET12,2000-03-01T00:00:00-03:00,1322.0
2000-04-01,2000,1,4,ANP12_CDEPET12,2000-04-01T00:00:00-03:00,1346.0
2000-05-01,2000,1,5,ANP12_CDEPET12,2000-05-01T00:00:00-03:00,1346.0
2000-06-01,2000,1,6,ANP12_CDEPET12,2000-06-01T00:00:00-03:00,1453.0
2000-07-01,2000,1,7,ANP12_CDEPET12,2000-07-01T00:00:00-03:00,1340.0
2000-08-01,2000,1,8,ANP12_CDEPET12,2000-08-01T00:00:00-03:00,1436.0
2000-09-01,2000,1,9,ANP12_CDEPET12,2000-09-01T00:00:00-03:00,1427.0
2000-10-01,2000,1,10,ANP12_CDEPET12,2000-10-01T00:00:00-03:00,1412.0
2000-11-01,2000,1,11,ANP12_CDEPET12,2000-11-01T00:00:00-03:00,1444.0
2000-12-01,2000,1,12,ANP12_CDEPET12,2000-12-01T00:00:00-02:00,1345.0
2001-01-01,2001,1,1,ANP12_CDEPET12,2001-01-01T00:00:00-02:00,1318.0
2001-02-01,2001,1,2,ANP12_CDEPET12,2001-02-01T00:00:00-02:00,1331.0
2001-03-01,2001,1,3,ANP12_CDEPET12,2001-03-01T00:00:00-03:00,1412.0
2001-04-01,2001,1,4,ANP12_CDEPET12,2001-04-01T00:00:00-03:00,1377.0
2001-05-01,2001,1,5,ANP12_CDEPET12,2001-05-01T00:00:00-03:00,1406.0
2001-06-01,2001,1,6,ANP12_CDEPET12,2001-06-01T00:00:00-03:00,1455.0
2001-07-01,2001,1,7,ANP12_CDEPET12,2001-07-01T00:00:00-03:00,1410.0
2001-08-01,2001,1,8,ANP12_CDEPET12,2001-08-01T00:00:00-03:00,1481.0
2001-09-01,2001,1,9,ANP12_CDEPET12,2001-09-01T00:00:00-03:00,1435.0
2001-10-01,2001,1,10,ANP12_CDEPET12,2001-10-01T00:00:00-03:00,1471.0
2001-11-01,2001,1,11,ANP12_CDEPET12,2001-11-01T00:00:00-03:00,1422.0
2001-12-01,2001,1,12,ANP12_CDEPET12,2001-12-01T00:00:00-02:00,1315.0
2002-01-01,2002,1,1,ANP12_CDEPET12,2002-01-01T00:00:00-02:00,1313.0
2002-02-01,2002,1,2,ANP12_CDEPET12,2002-02-01T00:00:00-02:00,1342.0
2002-03-01,2002,1,3,ANP12_CDEPET12,2002-03-01T00:00:00-03:00,1373.0
2002-04-01,2002,1,4,ANP12_CDEPET12,2002-04-01T00:00:00-03:00,1374.0
2002-05-01,2002,1,5,ANP12_CDEPET12,2002-05-01T00:00:00-03:00,1361.0
2002-06-01,2002,1,6,ANP12_CDEPET12,2002-06-01T00:00:00-03:00,1329.0
2002-07-01,2002,1,7,ANP12_CDEPET12,2002-07-01T00:00:00-03:00,1368.0
2002-08-01,2002,1,8,ANP12_CDEPET12,2002-08-01T00:00:00-03:00,1371.0
2002-09-01,2002,1,9,ANP12_CDEPET12,2002-09-01T00:00:00-03:00,1405.0
2002-10-01,2002,1,10,ANP12_CDEPET12,2002-10-01T00:00:00-03:00,1491.0
2002-11-01,2002,1,11,ANP12_CDEPET12,2002-11-01T00:00:00-03:00,1352.0
2002-12-01,2002,1,12,ANP12_CDEPET12,2002-12-01T00:00:00-02:00,1314.0
2003-01-01,2003,1,1,ANP12_CDEPET12,2003-01-01T00:00:00-02:00,1205.0
2003-02-01,2003,1,2,ANP12_CDEPET12,2003-02-01T00:00:00-02:00,1273.0
