DATE,YEAR,DAY,MONTH,CODE,RAW DATE,VALUE (R$ Penúltimo mês da série)
2014-02-01,2014,1,2,PNADC12_RRPHESPSC12,2014-02-01T00:00:00-02:00,1391.0
2014-03-01,2014,1,3,PNADC12_RRPHESPSC12,2014-03-01T00:00:00-03:00,1395.0
2014-04-01,2014,1,4,PNADC12_RRPHESPSC12,2014-04-01T00:00:00-03:00,1400.0
2014-05-01,2014,1,5,PNADC12_RRPHESPSC12,2014-05-01T00:00:00-03:00,1422.0
2014-06-01,2014,1,6,PNADC12_RRPHESPSC12,2014-06-01T00:00:00-03:00,1414.0
2014-07-01,2014,1,7,PNADC12_RRPHESPSC12,2014-07-01T00:00:00-03:00,1395.0
2014-08-01,2014,1,8,PNADC12_RRPHESPSC12,2014-08-01T00:00:00-03:00,1369.0
2014-09-01,2014,1,9,PNADC12_RRPHESPSC12,2014-09-01T00:00:00-03:00,1380.0
2014-10-01,2014,1,10,PNADC12_RRPHESPSC12,2014-10-01T00:00:00-03:00,1404.0
2014-11-01,2014,1,11,PNADC12_RRPHESPSC12,2014-11-01T00:00:00-02:00,1420.0
2014-12-01,2014,1,12,PNADC12_RRPHESPSC12,2014-12-01T00:00:00-02:00,1396.0
2015-01-01,2015,1,1,PNADC12_RRPHESPSC12,2015-01-01T00:00:00-02:00,1409.0
2015-02-01,2015,1,2,PNADC12_RRPHESPSC12,2015-02-01T00:00:00-02:00,1366.0
2015-03-01,2015,1,3,PNADC12_RRPHESPSC12,2015-03-01T00:00:00-03:00,1399.0
2015-04-01,2015,1,4,PNADC12_RRPHESPSC12,2015-04-01T00:00:00-03:00,1365.0
2015-05-01,2015,1,5,PNADC12_RRPHESPSC12,2015-05-01T00:00:00-03:00,1367.0
2015-06-01,2015,1,6,PNADC12_RRPHESPSC12,2015-06-01T00:00:00-03:00,1337.0
2015-07-01,2015,1,7,PNADC12_RRPHESPSC12,2015-07-01T00:00:00-03:00,1332.0
2015-08-01,2015,1,8,PNADC12_RRPHESPSC12,2015-08-01T00:00:00-03:00,1335.0
2015-09-01,2015,1,9,PNADC12_RRPHESPSC12,2015-09-01T00:00:00-03:00,1382.0
2015-10-01,2015,1,10,PNADC12_RRPHESPSC12,2015-10-01T00:00:00-03:00,1393.0
2015-11-01,2015,1,11,PNADC12_RRPHESPSC12,2015-11-01T00:00:00-02:00,1412.0
2015-12-01,2015,1,12,PNADC12_RRPHESPSC12,2015-12-01T00:00:00-02:00,1403.0
2016-01-01,2016,1,1,PNADC12_RRPHESPSC12,2016-01-01T00:00:00-02:00,1407.0
2016-02-01,2016,1,2,PNADC12_RRPHESPSC12,2016-02-01T00:00:00-02:00,1377.0
2016-03-01,2016,1,3,PNADC12_RRPHESPSC12,2016-03-01T00:00:00-03:00,1330.0
2016-04-01,2016,1,4,PNADC12_RRPHESPSC12,2016-04-01T00:00:00-03:00,1343.0
2016-05-01,2016,1,5,PNADC12_RRPHESPSC12,2016-05-01T00:00:00-03:00,1386.0
2016-06-01,2016,1,6,PNADC12_RRPHESPSC12,2016-06-01T00:00:00-03:00,1412.0
2016-07-01,2016,1,7,PNADC12_RRPHESPSC12,2016-07-01T00:00:00-03:00,1412.0
2016-08-01,2016,1,8,PNADC12_RRPHESPSC12,2016-08-01T00:00:00-03:00,1402.0
2016-09-01,2016,1,9,PNADC12_RRPHESPSC12,2016-09-01T00:00:00-03:00,1403.0
2016-10-01,2016,1,10,PNADC12_RRPHESPSC12,2016-10-01T00:00:00-03:00,1378.0
2016-11-01,2016,1,11,PNADC12_RRPHESPSC12,2016-11-01T00:00:00-02:00,1368.0
2016-12-01,2016,1,12,PNADC12_RRPHESPSC12,2016-12-01T00:00:00-02:00,1350.0
2017-01-01,2017,1,1,PNADC12_RRPHESPSC12,2017-01-01T00:00:00-02:00,1376.0
2017-02-01,2017,1,2,PNADC12_RRPHESPSC12,2017-02-01T00:00:00-02:00,1395.0
2017-03-01,2017,1,3,PNADC12_RRPHESPSC12,2017-03-01T00:00:00-03:00,1397.0
2017-04-01,2017,1,4,PNADC12_RRPHESPSC12,2017-04-01T00:00:00-03:00,1362.0
2017-05-01,2017,1,5,PNADC12_RRPHESPSC12,2017-05-01T00:00:00-03:00,1358.0
2017-06-01,2017,1,6,PNADC12_RRPHESPSC12,2017-06-01T00:00:00-03:00,1370.0
2017-07-01,2017,1,7,PNADC12_RRPHESPSC12,2017-07-01T00:00:00-03:00,1361.0
2017-08-01,2017,1,8,PNADC12_RRPHESPSC12,2017-08-01T00:00:00-03:00,1371.0
2017-09-01,2017,1,9,PNADC12_RRPHESPSC12,2017-09-01T00:00:00-03:00,1396.0
2017-10-01,2017,1,10,PNADC12_RRPHESPSC12,2017-10-01T00:00:00-03:00,1390.0
2017-11-01,2017,1,11,PNADC12_RRPHESPSC12,2017-11-01T00:00:00-02:00,1368.0
2017-12-01,2017,1,12,PNADC12_RRPHESPSC12,2017-12-01T00:00:00-02:00,1325.0
2018-01-01,2018,1,1,PNADC12_RRPHESPSC12,2018-01-01T00:00:00-02:00,1347.0
2018-02-01,2018,1,2,PNADC12_RRPHESPSC12,2018-02-01T00:00:00-02:00,1349.0
2018-03-01,2018,1,3,PNADC12_RRPHESPSC12,2018-03-01T00:00:00-03:00,1373.0
2018-04-01,2018,1,4,PNADC12_RRPHESPSC12,2018-04-01T00:00:00-03:00,1399.0
2018-05-01,2018,1,5,PNADC12_RRPHESPSC12,2018-05-01T00:00:00-03:00,1413.0
2018-06-01,2018,1,6,PNADC12_RRPHESPSC12,2018-06-01T00:00:00-03:00,1448.0
2018-07-01,2018,1,7,PNADC12_RRPHESPSC12,2018-07-01T00:00:00-03:00,1431.0
2018-08-01,2018,1,8,PNADC12_RRPHESPSC12,2018-08-01T00:00:00-03:00,1446.0
2018-09-01,2018,1,9,PNADC12_RRPHESPSC12,2018-09-01T00:00:00-03:00,1444.0
2018-10-01,2018,1,10,PNADC12_RRPHESPSC12,2018-10-01T00:00:00-03:00,1454.0
2018-11-01,2018,1,11,PNADC12_RRPHESPSC12,2018-11-01T00:00:00-03:00,1464.0
2018-12-01,2018,1,12,PNADC12_RRPHESPSC12,2018-12-01T00:00:00-02:00,1482.0
2019-01-01,2019,1,1,PNADC12_RRPHESPSC12,2019-01-01T00:00:00-02:00,1478.0
2019-02-01,2019,1,2,PNADC12_RRPHESPSC12,2019-02-01T00:00:00-02:00,1471.0
2019-03-01,2019,1,3,PNADC12_RRPHESPSC12,2019-03-01T00:00:00-03:00,1444.0
2019-04-01,2019,1,4,PNADC12_RRPHESPSC12,2019-04-01T00:00:00-03:00,1450.0
2019-05-01,2019,1,5,PNADC12_RRPHESPSC12,2019-05-01T00:00:00-03:00,1452.0
2019-06-01,2019,1,6,PNADC12_RRPHESPSC12,2019-06-01T00:00:00-03:00,1477.0
2019-07-01,2019,1,7,PNADC12_RRPHESPSC12,2019-07-01T00:00:00-03:00,1505.0
2019-08-01,2019,1,8,PNADC12_RRPHESPSC12,2019-08-01T00:00:00-03:00,1509.0
2019-09-01,2019,1,9,PNADC12_RRPHESPSC12,2019-09-01T00:00:00-03:00,1480.0
2019-10-01,2019,1,10,PNADC12_RRPHESPSC12,2019-10-01T00:00:00-03:00,1463.0
2019-11-01,2019,1,11,PNADC12_RRPHESPSC12,2019-11-01T00:00:00-03:00,1499.0
2019-12-01,2019,1,12,PNADC12_RRPHESPSC12,2019-12-01T00:00:00-03:00,1505.0
2020-01-01,2020,1,1,PNADC12_RRPHESPSC12,2020-01-01T00:00:00-03:00,1524.0
2020-02-01,2020,1,2,PNADC12_RRPHESPSC12,2020-02-01T00:00:00-03:00,1527.0
2020-03-01,2020,1,3,PNADC12_RRPHESPSC12,2020-03-01T00:00:00-03:00,1548.0
2020-04-01,2020,1,4,PNADC12_RRPHESPSC12,2020-04-01T00:00:00-03:00,1583.0
2020-05-01,2020,1,5,PNADC12_RRPHESPSC12,2020-05-01T00:00:00-03:00,1647.0
2020-06-01,2020,1,6,PNADC12_RRPHESPSC12,2020-06-01T00:00:00-03:00,1636.0
2020-07-01,2020,1,7,PNADC12_RRPHESPSC12,2020-07-01T00:00:00-03:00,1723.0
2020-08-01,2020,1,8,PNADC12_RRPHESPSC12,2020-08-01T00:00:00-03:00,1705.0
2020-09-01,2020,1,9,PNADC12_RRPHESPSC12,2020-09-01T00:00:00-03:00,1711.0
2020-10-01,2020,1,10,PNADC12_RRPHESPSC12,2020-10-01T00:00:00-03:00,1626.0
2020-11-01,2020,1,11,PNADC12_RRPHESPSC12,2020-11-01T00:00:00-03:00,1588.0
2020-12-01,2020,1,12,PNADC12_RRPHESPSC12,2020-12-01T00:00:00-03:00,1591.0
