DATE,YEAR,DAY,MONTH,CODE,RAW DATE,VALUE ((%))
2013-01-01,2013,1,1,BM12_CRLINPF12,2013-01-01T00:00:00-02:00,6.82
2013-02-01,2013,1,2,BM12_CRLINPF12,2013-02-01T00:00:00-02:00,6.72
2013-03-01,2013,1,3,BM12_CRLINPF12,2013-03-01T00:00:00-03:00,6.63
2013-04-01,2013,1,4,BM12_CRLINPF12,2013-04-01T00:00:00-03:00,6.54
2013-05-01,2013,1,5,BM12_CRLINPF12,2013-05-01T00:00:00-03:00,6.57
2013-06-01,2013,1,6,BM12_CRLINPF12,2013-06-01T00:00:00-03:00,6.32
2013-07-01,2013,1,7,BM12_CRLINPF12,2013-07-01T00:00:00-03:00,6.25
2013-08-01,2013,1,8,BM12_CRLINPF12,2013-08-01T00:00:00-03:00,6.12
2013-09-01,2013,1,9,BM12_CRLINPF12,2013-09-01T00:00:00-03:00,6.08
2013-10-01,2013,1,10,BM12_CRLINPF12,2013-10-01T00:00:00-03:00,5.86
2013-11-01,2013,1,11,BM12_CRLINPF12,2013-11-01T00:00:00-02:00,5.75
2013-12-01,2013,1,12,BM12_CRLINPF12,2013-12-01T00:00:00-02:00,5.72
2014-01-01,2014,1,1,BM12_CRLINPF12,2014-01-01T00:00:00-02:00,5.66
2014-02-01,2014,1,2,BM12_CRLINPF12,2014-02-01T00:00:00-02:00,5.56
2014-03-01,2014,1,3,BM12_CRLINPF12,2014-03-01T00:00:00-03:00,5.58
2014-04-01,2014,1,4,BM12_CRLINPF12,2014-04-01T00:00:00-03:00,5.61
2014-05-01,2014,1,5,BM12_CRLINPF12,2014-05-01T00:00:00-03:00,5.75
2014-06-01,2014,1,6,BM12_CRLINPF12,2014-06-01T00:00:00-03:00,5.62
2014-07-01,2014,1,7,BM12_CRLINPF12,2014-07-01T00:00:00-03:00,5.71
2014-08-01,2014,1,8,BM12_CRLINPF12,2014-08-01T00:00:00-03:00,5.7
2014-09-01,2014,1,9,BM12_CRLINPF12,2014-09-01T00:00:00-03:00,5.68
2014-10-01,2014,1,10,BM12_CRLINPF12,2014-10-01T00:00:00-03:00,5.62
2014-11-01,2014,1,11,BM12_CRLINPF12,2014-11-01T00:00:00-02:00,5.46
2014-12-01,2014,1,12,BM12_CRLINPF12,2014-12-01T00:00:00-02:00,5.32
